iter	Logloss	Accuracy
0	0.6361908616	0.6797423888
1	0.5973955201	0.6961358314
2	0.5719048763	0.7137002342
3	0.5592213677	0.7142857143
4	0.549479019	0.724824356
5	0.5420639763	0.7359484778
6	0.5297856359	0.7429742389
7	0.5201062216	0.7494145199
8	0.5082494571	0.7570257611
9	0.5006520615	0.7611241218
10	0.4948644219	0.7652224824
11	0.4907568336	0.768735363
12	0.4831775111	0.7745901639
13	0.4766958859	0.7798594848
14	0.4712516584	0.7804449649
15	0.4668550177	0.7845433255
16	0.4557233458	0.799765808
17	0.4486041406	0.8050351288
18	0.4421784684	0.8149882904
19	0.4347634302	0.8214285714
20	0.4268938202	0.8307962529
21	0.4176701455	0.8325526932
22	0.4094359678	0.8425058548
23	0.4039671024	0.8477751756
24	0.3970558886	0.8571428571
25	0.3906384618	0.856557377
26	0.3825020785	0.862412178
27	0.3753853278	0.8659250585
28	0.3704019195	0.8723653396
29	0.3648192183	0.8729508197
30	0.3588002251	0.8858313817
31	0.3554914542	0.8870023419
32	0.3508985018	0.8881733021
33	0.3461678486	0.8905152225
